,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
146,2015-08-16 21:44:20,2015-08-17 04:45:16,58%,7:00,:),Drank coffee,56.0,0
147,2015-08-17 22:13:05,2015-08-18 05:27:25,85%,7:14,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
148,2015-08-18 22:33:21,2015-08-19 06:45:33,90%,8:12,:),Drank coffee:Drank tea:Worked out,57.0,0
149,2015-08-19 21:48:50,2015-08-20 06:01:07,79%,8:12,:),Drank coffee:Worked out,51.0,0
150,2015-08-20 22:36:23,2015-08-21 06:00:11,69%,7:23,:),Drank coffee,58.0,0
151,2015-08-21 21:52:41,2015-08-22 06:00:13,88%,8:07,:),Drank coffee:Stressful day,60.60493827160494,0
152,2015-08-22 21:59:47,2015-08-23 05:49:06,90%,7:49,:),Drank coffee,52.0,0
153,2015-08-23 21:59:05,2015-08-24 05:29:52,83%,7:30,:),Ate late:Drank coffee:Drank tea,52.0,0
154,2015-08-25 21:57:25,2015-08-26 05:45:28,67%,7:48,:),Drank coffee,60.60493827160494,0
155,2015-08-26 21:14:31,2015-08-27 05:45:18,90%,8:30,:),Drank coffee:Stressful day,60.60493827160494,0
156,2015-08-27 21:19:00,2015-08-28 05:45:10,93%,8:26,:|,,60.0,0
157,2015-08-28 22:01:03,2015-08-29 06:00:39,85%,7:59,:),Drank coffee:Drank tea,62.0,0
158,2015-08-30 22:00:05,2015-08-31 06:00:18,84%,8:00,:),Drank coffee,66.0,0
159,2015-08-31 22:14:35,2015-09-01 06:00:59,77%,7:46,:),Drank coffee,60.60493827160494,0
160,2015-09-01 22:00:12,2015-09-02 06:00:07,85%,7:59,:),Drank tea,65.0,0
161,2015-09-02 23:36:43,2015-09-03 07:10:29,77%,7:33,:),Drank coffee,57.0,0
162,2015-09-05 22:54:41,2015-09-06 06:59:15,87%,8:04,:),Drank coffee,60.60493827160494,0
163,2015-09-07 22:45:57,2015-09-08 06:13:08,84%,7:27,:),Drank coffee:Drank tea,61.0,0
164,2015-09-08 22:03:28,2015-09-09 06:04:55,86%,8:01,:),Drank tea:Worked out,60.60493827160494,0
165,2015-09-09 22:40:40,2015-09-10 06:10:24,83%,7:29,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
166,2015-09-10 22:10:47,2015-09-11 04:57:40,77%,6:46,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
167,2015-09-12 00:06:20,2015-09-12 07:41:35,81%,7:35,:),Drank coffee:Worked out,60.60493827160494,0
168,2015-09-13 22:03:28,2015-09-14 05:50:31,81%,7:47,:),Drank coffee,60.60493827160494,0
169,2015-09-14 22:33:49,2015-09-15 06:30:22,83%,7:56,:),Drank coffee:Stressful day:Worked out,60.60493827160494,0
170,2015-09-15 22:14:42,2015-09-16 05:55:16,70%,7:40,:),Drank coffee:Worked out,60.60493827160494,0
171,2015-09-16 21:59:14,2015-09-17 06:20:08,80%,8:20,:),Drank coffee:Drank tea:Worked out,59.0,0
172,2015-09-17 22:57:35,2015-09-18 06:20:12,60%,7:22,:),Drank coffee:Drank tea:Worked out,56.0,0
173,2015-09-19 00:31:33,2015-09-19 06:55:11,55%,6:23,:),Drank coffee,60.60493827160494,0
174,2015-09-19 22:01:37,2015-09-20 06:48:52,91%,8:47,:),Drank coffee,60.60493827160494,0
175,2015-09-20 22:07:26,2015-09-21 06:15:54,79%,8:08,:),Drank coffee:Drank tea:Worked out,55.0,0
176,2015-09-22 21:34:08,2015-09-23 06:15:39,81%,8:41,:),Drank coffee:Drank tea:Worked out,58.0,0
177,2015-09-23 21:37:35,2015-09-24 05:07:03,77%,7:29,:),Drank coffee:Drank tea:Worked out,49.0,0
178,2015-09-24 22:37:41,2015-09-25 06:00:13,83%,7:22,:),Ate late:Drank coffee:Drank tea:Worked out,60.60493827160494,0
179,2015-09-27 22:57:29,2015-09-28 07:00:25,82%,8:02,:),Drank tea,61.0,0
180,2015-09-28 21:12:50,2015-09-29 05:15:43,90%,8:02,:),Drank tea:Worked out,60.0,0
181,2015-09-29 22:54:50,2015-09-30 06:20:27,89%,7:25,:),Ate late:Drank coffee:Drank tea:Worked out,58.0,0
182,2015-09-30 23:57:47,2015-10-01 06:14:26,62%,6:16,:),Drank coffee:Drank tea:Worked out,55.0,0
183,2015-10-03 00:09:08,2015-10-03 07:26:26,69%,7:17,:),Drank coffee:Worked out,57.0,0
184,2015-10-11 00:27:25,2015-10-11 08:58:25,100%,8:31,:),Drank coffee:Stressful day,50.0,0
185,2015-10-12 21:59:10,2015-10-13 06:00:45,74%,8:01,:),Ate late:Drank coffee:Drank tea:Worked out,60.60493827160494,0
186,2015-10-13 22:19:10,2015-10-14 04:59:56,59%,6:40,:),Drank coffee:Worked out,60.60493827160494,0
187,2015-10-14 05:00:29,2015-10-14 06:00:39,13%,1:00,:),,60.60493827160494,0
188,2015-10-14 22:40:34,2015-10-15 06:20:36,68%,7:40,:),Drank tea:Worked out,65.0,0
189,2015-10-15 22:12:48,2015-10-16 06:21:06,67%,8:08,:),Drank coffee:Drank tea:Worked out,58.0,0
190,2015-10-17 00:45:53,2015-10-17 07:37:31,57%,6:51,:),Drank coffee:Drank tea,60.60493827160494,0
191,2015-10-18 21:52:46,2015-10-19 06:20:17,67%,8:27,:|,Drank coffee,60.60493827160494,0
192,2015-10-20 21:38:02,2015-10-21 06:20:20,88%,8:42,:|,Drank coffee:Drank tea,62.0,0
193,2015-10-21 22:41:23,2015-10-22 06:20:28,77%,7:39,:),Drank coffee:Drank tea,53.0,0
194,2015-10-22 21:46:35,2015-10-23 05:30:45,80%,7:44,:),Drank coffee:Drank tea:Worked out,70.0,0
195,2015-10-24 00:32:20,2015-10-24 08:12:45,77%,7:40,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
196,2015-10-24 22:38:13,2015-10-25 06:33:35,81%,7:55,:),Drank coffee:Drank tea,60.60493827160494,0
197,2015-10-26 23:09:15,2015-10-27 06:05:04,77%,6:55,:),Drank coffee:Drank tea,65.0,0
198,2015-10-27 21:34:17,2015-10-28 05:35:51,78%,8:01,:|,Drank coffee:Worked out,60.60493827160494,0
199,2015-10-28 22:28:47,2015-10-29 06:20:36,83%,7:51,:|,Drank tea:Worked out,53.0,0
200,2015-10-29 22:30:45,2015-10-30 06:10:51,81%,7:40,:|,Drank tea:Worked out,57.0,0
201,2015-10-31 01:01:48,2015-10-31 07:50:17,50%,6:48,:),Drank coffee:Drank tea,60.60493827160494,0
202,2015-11-02 22:00:53,2015-11-03 06:10:32,83%,8:09,:|,Drank coffee:Drank tea:Worked out,55.0,0
203,2015-11-03 22:46:00,2015-11-04 06:09:53,75%,7:23,:|,Drank coffee:Drank tea:Worked out,60.60493827160494,0
204,2015-11-04 22:49:17,2015-11-05 06:00:43,65%,7:11,:|,Drank coffee:Drank tea:Worked out,60.60493827160494,0
205,2015-11-05 21:36:52,2015-11-06 05:29:48,77%,7:52,:|,Drank coffee:Drank tea:Worked out,60.60493827160494,0
206,2015-11-07 00:19:42,2015-11-07 08:13:55,93%,7:54,:),Drank coffee:Drank tea:Worked out,98.0,0
207,2015-11-08 23:28:38,2015-11-09 06:20:45,69%,6:52,:),Drank coffee:Drank tea,60.60493827160494,0
208,2015-11-09 21:59:54,2015-11-10 05:41:00,88%,7:41,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
209,2015-11-10 22:56:22,2015-11-11 06:28:43,83%,7:32,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
210,2015-11-11 22:57:35,2015-11-12 06:20:38,72%,7:23,:),Drank coffee:Drank tea,60.60493827160494,0
211,2015-11-13 22:59:58,2015-11-14 07:46:48,96%,8:46,:),Drank coffee:Drank tea,59.0,0
212,2015-11-15 22:17:12,2015-11-16 06:30:48,72%,8:13,:),Drank coffee:Drank tea,62.0,0
213,2015-11-18 22:07:28,2015-11-19 05:30:48,80%,7:23,:),Ate late:Drank coffee:Drank tea:Worked out,63.0,0
214,2015-11-19 23:10:23,2015-11-20 06:00:42,73%,6:50,:),Drank coffee:Drank tea:Worked out,62.0,0
215,2015-11-22 21:57:39,2015-11-23 05:30:46,83%,7:33,:),Drank tea,60.60493827160494,0
216,2015-11-23 22:15:24,2015-11-24 05:00:10,74%,6:44,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
